calBP,PrDens,lo,hi,logFit2,PhaseID,CompID,BRMspd,MeanFCRArea
8326,0.018173848148194,0.012949236056611,0.03335015310124,0.022930748236659,Expansion,Component II,0.005707722699033,0.56
8325,0.01823024728091,0.012848808503202,0.033432573610247,0.022932580527468,Expansion,Component II,0.005646508806814,0.56
8324,0.018286713110515,0.012748564064841,0.033511155728346,0.022934416059819,Expansion,Component II,0.005585260641757,0.56
8323,0.018342939510309,0.01271875471002,0.033549839110829,0.022936254839327,Expansion,Component II,0.00552397833353,0.56
8322,0.018398642834261,0.012826954694848,0.033656368901883,0.022938096871615,Expansion,Component II,0.00546266201565,0.56
8321,0.018453410222223,0.012935612989861,0.033741412976493,0.022939942162315,Expansion,Component II,0.005401311825537,0.56
8320,0.018506862464724,0.013045295444968,0.033814745766736,0.022941790717068,Expansion,Component II,0.005339927904557,0.56
8319,0.018560743810047,0.01311311955554,0.033889703759552,0.022943642541525,Expansion,Component II,0.005278543983578,0.56
8318,0.018614974267966,0.013089497387093,0.033966691530373,0.022945497641348,Expansion,Component II,0.005217160062598,0.56
8317,0.018669401411535,0.012999773655881,0.034045765891586,0.022947356022205,Expansion,Component II,0.005155776141619,0.56
8316,0.018723645476313,0.012912048916195,0.03412696645474,0.022949217689776,Expansion,Component II,0.00509439222064,0.56
8315,0.018777687202788,0.012836180886692,0.034210078352634,0.022951082649749,Expansion,Component II,0.00503300829966,0.56
8314,0.018833721164663,0.012867053739337,0.034294912784734,0.022952950907822,Expansion,Component II,0.004971701107759,0.56
8313,0.018891639933561,0.012895749319696,0.034381605690191,0.022954822469703,Expansion,Component II,0.004910471771549,0.56
8312,0.018951262822462,0.012885006708287,0.034468069017983,0.022956697341107,Expansion,Component II,0.004849321389317,0.56
8311,0.01901233392981,0.012838501601165,0.034554367415185,0.022958575527762,Expansion,Component II,0.004788251030911,0.56
8310,0.019074522148271,0.012734335428383,0.034640823215079,0.022960457035402,Expansion,Component II,0.004727261737684,0.56
8309,0.019139036099287,0.012696096133817,0.034689025835484,0.022962341869773,Expansion,Component II,0.004666497309745,0.56
8308,0.019205826920224,0.012742125840672,0.034697916834457,0.022964230036629,Expansion,Component II,0.004606000963646,0.56
8307,0.019274831326913,0.012709049580212,0.034771328424118,0.022966121541734,Expansion,Component II,0.004545751597153,0.56
8306,0.019345971560391,0.012667388601739,0.034841124077009,0.022968016390863,Expansion,Component II,0.004485762064062,0.56
8305,0.019419155441044,0.012631451657305,0.034906546169182,0.022969914589797,Expansion,Component II,0.00442604486632,0.56
8304,0.01949303438287,0.012613820798129,0.034969060297645,0.02297181614433,Expansion,Component II,0.004366721218131,0.56
8303,0.019567599545884,0.012572663357178,0.035028582637585,0.022973721060264,Expansion,Component II,0.004307806094607,0.56
8302,0.019642841762722,0.012530336156634,0.035014192462003,0.02297562934341,Expansion,Component II,0.004249312769956,0.56
8301,0.019718751540886,0.012525213422396,0.035002781761263,0.022977540999591,Expansion,Component II,0.004191252828118,0.56
8300,0.019795319065188,0.012497846248139,0.035152485872749,0.022979456034636,Expansion,Component II,0.004133636206439,0.56
8299,0.019866708704704,0.012503206895616,0.035273402407646,0.022981374454386,Expansion,Component II,0.00407630431268,0.56
8298,0.019932461780306,0.012479771680563,0.035328831883887,0.022983296264692,Expansion,Component II,0.00401925867009,0.56
8297,0.019992357470102,0.012441702934704,0.035380343644586,0.022985221471413,Expansion,Component II,0.003962500539872,0.56
8296,0.020046131034749,0.012452373105629,0.035403505462921,0.022987150080419,Expansion,Component II,0.003906030959725,0.56
8295,0.02009357509618,0.012464537075694,0.035417595509856,0.022989082097589,Expansion,Component II,0.003849850782182,0.56
