calBP,PrDens,PerCap,lo,hi,logFit3,PhaseID,CompID,BRMspd,MeanFCRArea
3175,0.140335971,-0.00162938,0.087447953,0.165124884,0.121796046,Expansion,Component III,0.020802566,1.54
3174,0.14012149,-0.001529509,0.087366915,0.164811873,0.121807785,Expansion,Component III,0.020874601,1.54
3173,0.139922719,-0.001419569,0.087508765,0.164989953,0.121819556,Expansion,Component III,0.020947302,1.54
3172,0.139744657,-0.001273386,0.087646793,0.165165552,0.12183136,Expansion,Component III,0.021020845,1.54
3171,0.139588168,-0.001120446,0.087377814,0.165334953,0.121843196,Expansion,Component III,0.021094966,1.54
3170,0.139438185,-0.001075044,0.087057215,0.165497055,0.121855065,Expansion,Component III,0.021170312,1.54
3169,0.139302649,-0.000972492,0.08694706,0.165385062,0.121866967,Expansion,Component III,0.021248468,1.54
3168,0.139173236,-0.00092944,0.086920127,0.165276743,0.121878902,Expansion,Component III,0.021327726,1.54
3167,0.139049586,-0.000888855,0.086894715,0.165419474,0.121890869,Expansion,Component III,0.021407771,1.54
3166,0.138913308,-0.000980547,0.086878301,0.165416612,0.12190287,Expansion,Component III,0.021488741,1.54
3165,0.138760042,-0.001103931,0.086878179,0.165708671,0.121914903,Expansion,Component III,0.021570547,1.54
3164,0.13858424,-0.001267749,0.086889497,0.165519134,0.12192697,Expansion,Component III,0.021652847,1.54
3163,0.13837082,-0.001541191,0.086906309,0.165515078,0.12193907,Expansion,Component III,0.021735146,1.54
3162,0.138116096,-0.001842577,0.086934689,0.165353581,0.121951203,Expansion,Component III,0.02181793,1.54
3161,0.137806351,-0.002245159,0.086974587,0.165633179,0.12196337,Expansion,Component III,0.021901119,1.54
3160,0.137446038,-0.002618055,0.087027535,0.165530953,0.121975571,Expansion,Component III,0.021982939,1.54
3159,0.137037393,-0.002977565,0.087092712,0.165420712,0.121987805,Expansion,Component III,0.022064583,1.54
3158,0.136577498,-0.003361624,0.087171544,0.165476792,0.122000072,Expansion,Component III,0.022145887,1.54
3157,0.136076025,-0.003678466,0.087261455,0.165365419,0.122012374,Expansion,Component III,0.022226515,1.54
3156,0.135545298,-0.003907854,0.087361943,0.1654656,0.122024709,Expansion,Component III,0.022306606,1.54
3155,0.13497376,-0.004225496,0.087429455,0.165682906,0.122037079,Expansion,Component III,0.022385845,1.54
3154,0.13439552,-0.004293296,0.087431014,0.165776971,0.122049482,Expansion,Component III,0.022463335,1.54
3153,0.133809753,-0.004368053,0.087497225,0.165764444,0.12206192,Expansion,Component III,0.02253897,1.54
3152,0.133207731,-0.004509244,0.087555038,0.165743558,0.122074392,Expansion,Component III,0.022611818,1.54
3151,0.132600679,-0.004567599,0.087607017,0.16569648,0.122086898,Expansion,Component III,0.022681094,1.54
3150,0.131996601,-0.004566025,0.087663101,0.165669731,0.122099438,Expansion,Component III,0.022745678,1.54
3149,0.131392648,-0.004586015,0.087722619,0.165652993,0.122112014,Expansion,Component III,0.022804879,1.54
3148,0.130795444,-0.004555553,0.087771561,0.165588649,0.122124623,Expansion,Component III,0.022858876,1.54
3147,0.130212365,-0.004467907,0.087564382,0.165303071,0.122137268,Expansion,Component III,0.02290717,1.54
3146,0.129648556,-0.004339325,0.08735435,0.165466251,0.122149947,Expansion,Component III,0.022950178,1.54
3145,0.129114823,-0.004125266,0.087177329,0.165720124,0.122162661,Expansion,Component III,0.022989519,1.54
3144,0.128616606,-0.003866178,0.086942712,0.165894938,0.12217541,Expansion,Component III,0.023023965,1.54
3143,0.128169192,-0.003484726,0.086736632,0.1660349,0.122188194,Expansion,Component III,0.023054669,1.54
3142,0.127764615,-0.003161574,0.086726596,0.166139086,0.122201014,Expansion,Component III,0.02308275,1.54
3141,0.127409675,-0.002781947,0.086754259,0.166219244,0.122213868,Expansion,Component III,0.023108589,1.54
3140,0.127099356,-0.002438574,0.086777644,0.166322028,0.122226758,Expansion,Component III,0.023131675,1.54
3139,0.126823155,-0.002175475,0.086815901,0.166359943,0.122239684,Expansion,Component III,0.023152498,1.54
3138,0.126573102,-0.001973611,0.087001054,0.166374456,0.122252644,Expansion,Component III,0.023171707,1.54
