calBP,PrDens,lo,hi,logFit,CRR,MAT,NPP,CompID,PhaseID
6150,2.675007033,2.196668467,3.7032612,2.767588852,457.4863652,19.66634562,785.9103137,Component II,Expansion
6100,2.793393076,2.218766369,3.89240725,2.869824346,419.5227565,20.17417491,729.3885003,Component II,Expansion
6050,2.815968856,2.194558573,3.916282161,2.974817179,441.4298791,19.68880839,762.1784979,Component II,Expansion
6000,2.807130076,2.270346958,3.894589036,3.0822372,437.5997209,20.03975128,756.4799709,Component II,Expansion
5950,2.743135017,2.413593309,4.022916292,3.191718683,434.4776807,20.03747691,751.824252,Component II,Expansion
5900,3.056506394,2.649354516,4.155101077,3.302864763,417.6947124,20.08829498,726.6307103,Component II,Expansion
5850,3.28536957,2.695744697,4.509655882,3.415252728,416.2749379,20.02903015,724.4865258,Component II,Expansion
5800,3.279880218,2.605332287,4.715896836,3.528440202,445.2076145,19.965495,767.7848513,Component II,Expansion
5750,3.29177795,2.664021485,4.640842574,3.641972006,431.6005864,19.78387787,747.5252531,Component II,Intensification
5700,3.314866616,2.857237991,4.712692646,3.755387366,437.5413432,19.72110748,756.3930041,Component II,Intensification
5650,3.637331442,2.931810662,4.949830998,3.868227405,423.5553371,19.96154083,735.4602332,Component II,Intensification
5600,4.036177399,3.118195827,4.932896655,3.980042522,434.9214243,19.87200816,752.4865699,Component II,Intensification
5550,4.379218534,3.324700012,5.009977465,4.09039946,431.4270972,19.6850233,747.2657602,Component II,Intensification
5500,4.480754122,3.198857123,5.341060038,4.198887823,438.5081045,19.84802846,757.8327795,Component II,Intensification
5450,4.039984172,3.458594,5.269977354,4.305125868,380.4399581,20.25408396,669.6926786,Component II,Intensification
5400,3.552762968,3.432881709,5.563741613,4.408765351,383.5982206,20.14769826,674.5744136,Component II,Intensification
5350,3.465234528,3.38995806,5.601128058,4.509495385,447.4799581,19.68570109,771.1503586,Component II,Intensification
5300,3.983299902,3.738836373,5.478797598,4.607045183,430.1159584,19.799139,745.3036844,Component II,Intensification
5250,4.715603356,3.926541611,5.77751544,4.701185735,425.3246414,19.91526001,738.1190932,Component II,Intensification
5200,4.95842441,3.830445206,6.138778599,4.791730438,448.6416531,19.73535929,772.8689534,Component II,Intensification
5150,5.011726309,3.866466111,6.060509759,4.878534688,458.0158901,19.44609294,786.6886608,Component II,Intensification
5100,5.076561398,3.803078418,6.063192666,4.961494658,447.8441584,19.58007823,771.6892939,Component II,Intensification
5050,5.145774101,3.921754454,6.025935492,5.040545342,437.1915783,19.58024892,755.8718796,Component II,Intensification
5000,5.300183449,4.046282615,6.107080933,5.115657924,447.9074936,19.80201965,771.7830026,Component II,Intensification
4950,5.210237801,4.167909286,6.403048441,5.186836782,460.1574882,19.80624888,789.8337996,Component II,Intensification
4900,4.984068834,4.130281283,6.608325751,5.254116103,450.4496007,19.90060333,775.5409693,Component II,Intensification
4850,4.650333345,4.395910524,6.42449298,5.317556383,433.6949487,19.96872854,750.6554948,Component II,Intensification
4800,5.035094593,4.619802709,6.363230511,5.377240829,482.4111775,19.68873342,822.2521057,Component II,Intensification
4750,5.539756897,4.480294359,6.64137158,5.43327178,434.3495697,20.02693644,751.6330012,Component II,Intensification
4700,5.39723541,4.414325569,6.678175369,5.485767345,444.5835817,20.07838643,766.859724,Component II,Intensification
4650,5.678382553,4.379272961,6.726380256,5.534858121,398.8681018,20.45200277,698.0332435,Component II,Intensification
4600,6.32814886,4.438065544,6.722191072,5.580684199,410.7301704,20.07736074,716.0932681,Component II,Intensification
4550,6.494533257,4.466955444,6.792258899,5.623392463,439.5946631,19.83787404,759.4498635,Component II,Intensification
4500,5.945938985,4.64226725,6.811915328,5.663134127,483.3261676,19.70528168,823.574802,Component II,Intensification
4450,5.584363806,4.60049704,7.055656793,5.700062577,450.338667,19.65091095,775.3771096,Component II,Intensification
4400,6.073872804,4.78023243,6.835486068,5.734331532,429.8416718,19.86262858,744.8930075,Component II,Intensification
4350,7.078542103,4.636028655,7.090578419,5.766093467,444.930693,19.61981995,767.3743631,Component II,Intensification
4300,7.740816091,4.58533399,7.219479947,5.795498263,447.2381387,19.83150472,770.7924478,Component II,Intensification
4250,8.314816808,4.676450736,7.134994716,5.822692156,462.4160162,19.60996379,793.1458191,Component II,Intensification
4200,8.338710411,4.717997769,7.184813028,5.847816845,455.9639115,19.71479218,783.6709382,Component II,Intensification
4150,7.741988824,4.772363958,7.160934436,5.87100887,383.3865494,20.2283432,674.2475528,Component II,Recession
4100,7.181048478,4.85911647,7.090398598,5.892399093,433.2259956,19.74144043,749.954974,Component II,Recession
4050,6.37547097,4.859299449,7.124173724,5.912112352,441.6890765,19.87573293,762.5636096,Component II,Recession
4000,5.879594556,4.772521219,7.212540104,5.93026728,436.4738138,19.78485148,754.8020831,Component II,Recession
3950,5.46203126,4.892771512,7.174212811,5.946976171,441.0447566,19.93652466,761.606166,Component II,Recession
3900,5.053499848,4.794691256,7.330368997,5.962344986,458.9910175,19.90419952,788.121282,Component II,Recession
3850,5.231382309,4.856531784,7.291747185,5.9764734,426.9716268,19.87669037,740.5913303,Component II,Recession
3800,5.489360139,4.934902782,7.151963547,5.989454954,440.9087168,19.80468404,761.4039618,Component II,Recession
3750,5.605482747,4.849499882,7.315968443,6.001377173,405.6378692,20.05869914,708.3576509,Component II,Recession
3700,5.431125368,4.934905239,7.228480127,6.01232182,407.0647509,20.02839579,710.527838,Component II,Recession
3650,4.948028821,4.953938915,7.225316783,6.022365112,366.0878329,20.57177602,647.3791369,Component II,Recession
3600,4.234615829,4.864727298,7.3645097,6.031577955,362.7823027,20.35757151,642.2097641,Component II,Recession
3550,4.201574192,4.909558389,7.286403678,6.040026224,399.7104411,19.97069275,699.3204041,Component II,Recession
3500,4.863438682,4.792804607,7.329915591,6.047771021,410.0319422,19.81513295,715.0341498,Component II,Recession
3450,5.381373044,4.843557289,7.082902783,6.054868952,434.7707636,19.76888295,752.2617203,Component II,Recession
3400,5.670252363,4.494614673,6.798730449,6.061372386,434.3809162,19.80992137,751.6797984,Component III,Expansion
3350,5.866850011,3.568720123,7.837358746,6.000885352,431.0792817,19.7980364,746.7454323,Component III,Expansion
3300,6.376580058,4.19718509,8.022037916,6.017394519,415.1386648,19.91226542,722.7690364,Component III,Expansion
3250,6.61911111,4.127103753,8.348260675,6.038060172,419.8520445,20.008449,729.8849089,Component III,Expansion
3200,7.099752787,4.287981755,8.209421873,6.061811591,428.6798637,19.77359701,743.1526553,Component III,Expansion
3150,7.042661548,4.355409528,8.276003291,6.089092542,442.2703463,19.85335052,763.427011,Component III,Expansion
3100,6.070333332,4.318192838,8.394240998,6.120405121,442.8697362,19.98812836,764.3169785,Component III,Expansion
3050,5.174984009,4.325621289,8.358022243,6.156315628,411.8721389,19.93429789,717.824423,Component III,Expansion
3000,4.457313711,4.381514485,8.553288471,6.197460458,423.2516388,19.99004954,735.0035298,Component III,Expansion
2950,3.823022685,4.500068542,8.511937961,6.24455173,423.96897,19.86533132,736.0821087,Component III,Expansion
2900,3.473432581,4.53493015,8.732172259,6.298382371,411.897916,20.17123342,717.8634844,Component III,Expansion
2850,3.574320422,4.65720291,8.753089225,6.3598301,426.8507516,19.82395325,740.4099803,Component III,Expansion
2800,3.745996643,4.645226225,8.936665217,6.429859873,443.246253,19.83391439,764.8758454,Component III,Expansion
2750,4.142836064,5.093848333,8.652940368,6.509523983,449.8527067,19.8200175,774.6591577,Component III,Expansion
2700,6.738250771,5.46506702,8.721533693,6.59995892,465.890641,19.66960581,798.2314957,Component III,Expansion
2650,9.7793631,5.253964737,9.358645093,6.702378049,450.6212733,19.61178314,775.7945222,Component III,Expansion
2600,10.32596258,5.138387185,9.541543417,6.8180588,446.9482586,19.75231903,770.3633277,Component III,Expansion
2550,9.885761302,5.033640374,9.558507447,6.948323238,458.6209411,19.72634328,787.5776886,Component III,Expansion
2500,9.939937659,5.127368431,9.516223842,7.094510637,459.0855751,19.67119659,788.2601532,Component III,Expansion
2450,9.452390703,5.374748747,9.660626115,7.257941072,498.8537892,19.60028687,845.8992036,Component III,Expansion
2400,8.194007466,5.361508005,10.12065131,7.439869044,440.4860103,19.24035817,760.7755509,Component III,Expansion
2350,7.025994451,5.890234571,9.90771146,7.641427112,451.1647448,19.79351868,776.5970155,Component III,Expansion
2300,7.408976866,6.681182689,10.12773678,7.863560118,431.9313943,19.9166921,748.0199694,Component III,Expansion
2250,8.724353015,6.631492277,11.05651899,8.106951753,428.9163771,19.72420817,743.5070538,Component III,Expansion
2200,8.347427219,6.4512192,11.27966571,8.371946817,441.664392,19.72201192,762.5269366,Component III,Expansion
2150,8.685326094,6.636209531,11.19231681,8.658473951,443.9541479,19.80907338,765.9262012,Component III,Expansion
2100,10.07054758,7.145990727,11.53844472,8.965975174,449.1109916,19.77653758,773.5629101,Component III,Expansion
2050,10.13919933,7.266772393,12.42920493,9.293349622,430.9455468,19.80261058,746.5453345,Component III,Expansion
2000,9.756265013,7.670285075,12.64614544,9.638919511,418.0620973,19.8422465,727.1852165,Component III,Expansion
1950,9.946939671,7.979706071,13.00680488,10.00042554,445.0593734,19.72353099,767.5651189,Component III,Expansion
1900,10.39353972,8.12478808,13.83296038,10.37505733,426.3843663,19.83956614,739.7101225,Component III,Expansion
1850,10.65135123,8.448701376,14.17381868,10.75952134,461.9510306,19.60436808,792.4643467,Component III,Expansion
