calBP,PrDens,lo,hi,LogisticFit,PhaseID,CompID,BRMspd,MeanFCRArea
9424,0.023109431,0.019997039,0.02828454,0.023657163,Intensification,Component I,0.006177016161491,0.16
9423,0.023224525,0.019947238,0.028294804,0.023664042,Intensification,Component I,0.006217743069838,0.16
9422,0.023336283,0.0199379,0.028305202,0.023670919,Intensification,Component I,0.006258267296215,0.16
9421,0.023444596,0.019926469,0.028313824,0.023677793,Intensification,Component I,0.006298585778025,0.16
9420,0.023549367,0.01991345,0.028321544,0.023684665,Intensification,Component I,0.006338697675465,0.16
9419,0.023651807,0.019919369,0.028327968,0.023691536,Intensification,Component I,0.006378620341977,0.16
9418,0.02375184,0.019939899,0.028332687,0.023698404,Intensification,Component I,0.00641836571943,0.16
9417,0.023849379,0.019961817,0.028374716,0.02370527,Intensification,Component I,0.006457947777404,0.16
9416,0.023944374,0.019987774,0.028402118,0.023712134,Intensification,Component I,0.006497382442353,0.16
9415,0.02403676,0.020018355,0.028384837,0.023718996,Intensification,Component I,0.006536687518912,0.16
9414,0.024126969,0.020026136,0.028372885,0.023725856,Intensification,Component I,0.006575908985651,0.16
9413,0.02421487,0.020101668,0.028430082,0.023732714,Intensification,Component I,0.006615062659418,0.16
9412,0.024300433,0.020103202,0.028443323,0.02373957,Intensification,Component I,0.006654165220904,0.16
9411,0.024383427,0.020096421,0.028450635,0.023746424,Intensification,Component I,0.006693234156777,0.16
9410,0.024463733,0.020098934,0.028474457,0.023753276,Intensification,Component I,0.006732287699619,0.16
9409,0.024542392,0.020114789,0.028496293,0.023760125,Intensification,Component I,0.006771311790826,0.16
9408,0.024619326,0.02012695,0.028517095,0.023766973,Intensification,Component I,0.006810308345135,0.16
9407,0.024694487,0.020108761,0.028536621,0.023773818,Intensification,Component I,0.006849279367833,0.16
9406,0.024767764,0.020090831,0.028524267,0.023780661,Intensification,Component I,0.006888226954298,0.16
9405,0.024839081,0.020073535,0.028511821,0.023787503,Intensification,Component I,0.006927153289486,0.16
9404,0.024908455,0.020055363,0.028527803,0.023794342,Intensification,Component I,0.006966041811523,0.16
9403,0.02497584,0.020038258,0.028542584,0.023801179,Intensification,Component I,0.007004892603016,0.16
9402,0.025041191,0.020021702,0.028543925,0.023808014,Intensification,Component I,0.007043705798822,0.16
9401,0.025104465,0.020005614,0.028584665,0.023814846,Intensification,Component I,0.007082481586661,0.16
9400,0.025165619,0.020008183,0.028623886,0.023821677,Intensification,Component I,0.00712122020772,0.16
9399,0.025225994,0.019998934,0.028646656,0.023828506,Intensification,Component I,0.007159929355743,0.16
9398,0.025285462,0.019970629,0.028678819,0.023835332,Intensification,Component I,0.007198608866642,0.16
9397,0.025343895,0.019949124,0.028694442,0.023842157,Intensification,Component I,0.007237258581504,0.16
9396,0.025401198,0.019933895,0.028706648,0.023848979,Intensification,Component I,0.007275878346664,0.16
9395,0.025457305,0.019921438,0.028727123,0.023855799,Intensification,Component I,0.007314468013779,0.16
9394,0.02551195,0.019908978,0.028753569,0.023862617,Intensification,Component I,0.007353010138682,0.16
9393,0.025565059,0.0198828,0.028787948,0.023869433,Intensification,Component I,0.007391506144275,0.16
9392,0.025616618,0.0198685,0.028834122,0.023876247,Intensification,Component I,0.007429957458162,0.16
9391,0.025666582,0.019854548,0.028878874,0.023883059,Intensification,Component I,0.00746836551203,0.16
9390,0.025714909,0.019840989,0.028922141,0.023889868,Intensification,Component I,0.007506731741018,0.16
9389,0.02576141,0.019833953,0.028963726,0.023896676,Intensification,Component I,0.007545112260704,0.16
9388,0.025806096,0.01983661,0.028990844,0.023903481,Intensification,Component I,0.007583507746143,0.16
9387,0.025848964,0.019825635,0.029004271,0.023910284,Intensification,Component I,0.007621918860531,0.16
9386,0.02589004,0.019815068,0.029016628,0.023917085,Intensification,Component I,0.007660346255155,0.16
9385,0.025929335,0.019801947,0.029028347,0.023923884,Intensification,Component I,0.007698790569349,0.16
9384,0.025966435,0.019791689,0.029039687,0.023930681,Intensification,Component I,0.007737252430452,0.16
9383,0.026001334,0.019776887,0.02905064,0.023937476,Intensification,Component I,0.00777564843455,0.16
9382,0.026034043,0.019762534,0.029057163,0.023944268,Intensification,Component I,0.007814029440263,0.16
9381,0.02606458,0.019748649,0.029055398,0.023951059,Intensification,Component I,0.007852346317684,0.16
9380,0.026092968,0.019730372,0.029049403,0.023957847,Intensification,Component I,0.007890615093171,0.16
9379,0.026118738,0.019721361,0.029054239,0.023964633,Intensification,Component I,0.00792883232826,0.16
9378,0.026141877,0.019709778,0.029068072,0.023971417,Intensification,Component I,0.007966987070398,0.16
9377,0.026162422,0.019707079,0.029070606,0.023978199,Intensification,Component I,0.008005065862149,0.16
9376,0.026180382,0.01970083,0.029072494,0.023984979,Intensification,Component I,0.008043052409696,0.16
9375,0.026195788,0.019695496,0.029073564,0.023991757,Intensification,Component I,0.008080927234861,0.16
9374,0.026209259,0.019690953,0.029073978,0.023998532,Intensification,Component I,0.008118740760087,0.16
9373,0.026220761,0.019687227,0.029073734,0.024005306,Intensification,Component I,0.008156486748297,0.16
9372,0.026230396,0.019684303,0.029072794,0.024012077,Intensification,Component I,0.008194158218204,0.16
9371,0.026238224,0.019682155,0.029071169,0.024018846,Intensification,Component I,0.008231747408517,0.16
9370,0.02624424,0.019680771,0.029068884,0.024025613,Intensification,Component I,0.008269245743083,0.16
9369,0.026249273,0.019679814,0.029080326,0.024032377,Intensification,Component I,0.008306745341677,0.16
9368,0.026253304,0.019679329,0.029104596,0.02403914,Intensification,Component I,0.008344248517414,0.16
9367,0.02625631,0.019679334,0.029129117,0.0240459,Intensification,Component I,0.008381757553209,0.16
9366,0.026258274,0.01967982,0.029130075,0.024052659,Intensification,Component I,0.008419274700321,0.16
9365,0.026259179,0.019680806,0.029117266,0.024059415,Intensification,Component I,0.008456802176923,0.16
9364,0.026259663,0.019682025,0.029103948,0.024066169,Intensification,Component I,0.008494429592485,0.16
9363,0.026259756,0.019683489,0.029090299,0.02407292,Intensification,Component I,0.008532148901599,0.16
9362,0.026259391,0.019685197,0.029076325,0.02407967,Intensification,Component I,0.008569952544643,0.16
9361,0.026258552,0.019687171,0.029062005,0.024086417,Intensification,Component I,0.00860783343028,0.16
9360,0.026257207,0.019689426,0.029075069,0.024093163,Intensification,Component I,0.008645784917439,0.16
9359,0.026254849,0.019692105,0.02908853,0.024099906,Intensification,Component I,0.008683757770859,0.16
9358,0.026251623,0.019695164,0.029101463,0.024106647,Intensification,Component I,0.008721751599353,0.16
9357,0.026247649,0.019698531,0.02911381,0.024113386,Intensification,Component I,0.008759766289702,0.16
9356,0.026243057,0.019702131,0.029125527,0.024120122,Intensification,Component I,0.008797801997537,0.16
9355,0.026237975,0.019705895,0.029136577,0.024126857,Intensification,Component I,0.00883585913802,0.16
9354,0.026232416,0.019709684,0.029146242,0.024133589,Intensification,Component I,0.008873779395818,0.16
9353,0.02622665,0.019713331,0.029149529,0.024140319,Intensification,Component I,0.008911567085054,0.16
9352,0.026220937,0.019716678,0.029147483,0.024147047,Intensification,Component I,0.008949227432628,0.16
9351,0.026215529,0.019719585,0.029146014,0.024153772,Intensification,Component I,0.008986766582307,0.16
9350,0.02621067,0.019721914,0.029145067,0.024160496,Intensification,Component I,0.009024191596923,0.16
9349,0.026206724,0.019723694,0.029144366,0.024167217,Intensification,Component I,0.009061481278562,0.16
9348,0.026203837,0.019724966,0.029143822,0.024173936,Intensification,Component I,0.009098653337467,0.16
9347,0.026202134,0.019725811,0.029143386,0.024180653,Intensification,Component I,0.009135727000598,0.16
9346,0.026201726,0.019726319,0.029142943,0.024187368,Intensification,Component I,0.009172722970611,0.16
9345,0.026202713,0.019726617,0.029142468,0.024194081,Intensification,Component I,0.009209663380462,0.16
9344,0.026203166,0.019727184,0.029141869,0.024200791,Intensification,Component I,0.009246575245773,0.16
9343,0.026203099,0.019728034,0.029141161,0.024207499,Intensification,Component I,0.009283465650116,0.16
9342,0.026202476,0.019729171,0.029140358,0.024214205,Intensification,Component I,0.009320341625277,0.16
9341,0.026201262,0.019730577,0.029139642,0.024220909,Intensification,Component I,0.009357210124949,0.16
9340,0.026199474,0.019732217,0.02914361,0.024227611,Intensification,Component I,0.009394077997979,0.16
9339,0.026194983,0.019734274,0.029149172,0.02423431,Intensification,Component I,0.009430812291637,0.16
9338,0.026187786,0.019736614,0.029156283,0.024241007,Intensification,Component I,0.009467401949126,0.16
9337,0.026177854,0.019739215,0.029159775,0.024247702,Intensification,Component I,0.009503834940256,0.16
9336,0.026165191,0.019742045,0.02915777,0.024254395,Intensification,Component I,0.009540098221483,0.16
9335,0.026149779,0.01974508,0.029155912,0.024261086,Intensification,Component I,0.00957617769892,0.16
9334,0.02613145,0.019748494,0.029153867,0.024267774,Intensification,Component I,0.009611978087029,0.16
9333,0.026110225,0.019752229,0.029151496,0.02427446,Intensification,Component I,0.009647516201666,0.16
9332,0.026086125,0.019756246,0.029148712,0.024281144,Intensification,Component I,0.00968280671793,0.16
9331,0.02605918,0.019763691,0.029145783,0.024287826,Intensification,Component I,0.009717862034518,0.16
9330,0.026029424,0.019796714,0.02914276,0.024294506,Intensification,Component I,0.009752692146724,0.16
9329,0.025997166,0.019832561,0.029140151,0.024301183,Intensification,Component I,0.0097874342494,0.16
9328,0.025962351,0.01987133,0.029138042,0.024307858,Intensification,Component I,0.009822100064878,0.16
9327,0.025924942,0.019914148,0.029136507,0.024314531,Intensification,Component I,0.009856695613555,0.16
9326,0.025884945,0.019959825,0.029135694,0.024321202,Intensification,Component I,0.009891221167489,0.16
9325,0.025842303,0.020008295,0.02913437,0.02432787,Intensification,Component I,0.009925671239067,0.16
9324,0.025797356,0.02005915,0.029135698,0.024334536,Intensification,Component I,0.009960070880904,0.16
9323,0.025750128,0.020104711,0.029138327,0.0243412,Intensification,Component I,0.009994402597435,0.16
9322,0.025700648,0.02013631,0.029140475,0.024347862,Intensification,Component I,0.010028643701598,0.16
9321,0.025648947,0.020145358,0.029140017,0.024354522,Intensification,Component I,0.010062766528696,0.16
9320,0.025595062,0.020155254,0.029128287,0.024361179,Intensification,Component I,0.010096738682692,0.16
